event_name,event_date,event_time,event_location,event_description,hosted_by,price,event_url
a16z Women In Infra Mixer,Wed Oct 8,5:00 pm,FiDi (SF),"a16z Infra ""Women in AI"" Happy Hour hosted at Convex Join us for an evening of connection and conversation at the a16z Women in AI, a casual mixer bringing together founders, builders, researchers, and product leaders shaping the future of infrastructure. We’ll gather an incredible community of women and allies from across the ecosystem, including teams at SSI, Anthropic, OpenAI, Goodfire, and many others. This is a chance to meet peers building at the cutting edge of AI, infra, and security, share ideas, and spark new collaborations. This event is part of #SFTechWeek, a city-wide series of events hosted by VCs and startups to bring together the tech community. Learn more at www.tech-week.com. 📍 Convex Convex is the open source, reactive database where queries are TypeScript code running right in the database. Just like React components react to state changes, Convex queries react to database changes. Convex provides a database, a place to write your server functions, and client libraries. It makes it easy to build and scale dynamic live-updating apps.",,,https://partiful.com/e/reFKgUjpBB9GDjynuAjL
AI and Accounting Dinner with Rillet and a16z,Tue Oct 7,6:30 pm,Nob Hill,CFO and Controller dinner Hosted by Rillet & a16z during SF Tech Week We are bringing together a small group of finance leaders for a tactics-driven discussion on how AI is transforming the finance function. The aim is for everyone to leave with useful frameworks and valuable new connections. What to Expect: - Firsthand accounts from leading CFOs and controllers who have transformed their financial processes with AI - Opportunity to share how you are implementing AI within your own organization - Meaningful connections with peers on similar AI journeys Seating will be intentionally limited for quality conversations and genuine connections. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.,,,https://partiful.com/e/3snAtYIzgwHzUin70G47
"AI in Financial Services with OpenAI's Head of Sales (former), a16z, and Elsa Capital",Wed Oct 8,10:30 am,SOMA,"Join us for an exclusive conversation with three leaders at the forefront of AI's transformation of financial services: * Aliisa Rosenthal, Head of Sales at OpenAI from June 2022 to March 2025. Aliisa grew OpenAI's sales team from 2 people to 100+ and scaled revenue run rate from $10M to $10B. Aliisa witnessed the explosive adoption of ChatGPT across the financial sector. She'll share insights on why financial services became one of the earliest adopters of generative AI, how enterprises like Morgan Stanley and Bank of New York are implementing AI today, and her vision for the future of AI in financial services. * Alex Immerman, Partner at Andreessen Horowitz and board member of Hebbia, the market-leading vertical AI platform transforming how financial professionals work with complex data and documents. * Sarah Fu, Managing Partner at Elsa Capital, a venture firm partnering with exceptional startups building vertical AI in financial services. Sarah brings deep tech operating expertise and financial services experience from Stripe, Fidelity and Morgan Stanley. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",D,$10,https://partiful.com/e/jT3z3D6UXtFhbDxq8TLd?
"AI x Creativity: Hedra, Descript & a16z Panel + Happy Hour",Wed Oct 8,4:00 pm,SOMA,"We’re bringing together some of the brightest minds in AI and marketing for SF Tech Week. Join Michael Lingelbach (CEO, Hedra), Laura Burkhauser (CEO, Descript), and Justine Moore (Partner, a16z) for a panel on how AI is changing the way we create and share content. After the panel, we’ll keep the conversation going with Happy Hour + networking. Come chat with the teams, meet fellow builders, and learn more about the future of AI. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/l7KWK1WhNEbaZCgiKEqE
Applied AI with a16z and Decagon,Tue Oct 7,Invite Only,SOMA,,,,#
Finance Next Gen Founders Panel with a16z,Wed Oct 8,8:30 am,Embarcadero,"Join us for a forward-looking discussion on the next generation of platforms designed for today’s finance leaders. Hosted by J.P. Morgan and moderated by Ivan Makarov, Partner at Andreessen Horowitz (a16z), this panel brings together the founders of Rillet, Concourse, and Dean Quiambao from Armanino to explore how technology is reshaping the CFO’s office and finance organizations at large. We’ll dive into the tools and systems defining modern financial operations, from automation to real-time insights, and what this means for scaling companies in an increasingly complex business environment. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/zAOmS7pWBXoGnLN24iRp
"Forks & Founders Dinner w/ Deel, a16z and Attivo",Wed Oct 8,6:00 pm,,"Forks & Founders is where big ideas meet good food. Join Deel and a16z for a relaxed dinner with fellow founders and CFOs swapping stories, scaling secrets, and plenty of laughs, all served with a side of global ambition. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/Jl1y9gZhFtwBre0naQZn
SF Marketers Tech Week Dinner,Tue Oct 7,6:00 pm,Embarcadero,"As part of San Francisco Tech Week, we’re delighted to invite you to a Andreessen Horowitz exclusive executive dinner reception for startup marketing leaders. Please join us for an evening of networking with marketing leaders from other high velocity portfolio companies and discussions with advertising executives from the Google, Linkedin and Meta. It will be a great opportunity to enjoy some amazing food, hear from the 3 largest ad platforms on where performance marketing is heading, and trade notes with marketing colleagues across industries. Please register as soon as possible, as there are very limited spaces. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/YjbJBzADEHUS5sTAjbeg
"SFTW CFO Brunch w/ A16Z, Carta, Deel, Rillet",Mon Oct 6,10:30 am,Duboce Triangle,"Join A16Z, Carta, Deel, and Rillet for our SF Tech Week CFO brunch! A private networking brunch bringing together CFOs, Heads of Finance, and strategic operators guiding the financial future of tech. This isn’t a panel, a pitch, or a sales deck. It’s a curated conversation among peers tackling what really matters: capital efficiency, strategic planning, fundraising dynamics, the financial impact of AI, and how to lead through volatility. Expect sharp minds, strong coffee, and candid conversations with the people who keep tech’s engine running This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/liv01x6aVVJdjmaf371I
Anthropic AI Founder Salon,Tue Oct 7,Invite Only,Downtown (SF),Join the Anthropic team and co-founder Ben Mann for an exclusive Tech Week gathering bringing together technical decision-makers and AI builders scaling their companies. What to Expect: - Deep-dive sessions on Claude's capabilities and latest features - Insights on building and scaling AI companies and products - Latest research updates from Anthropic's team - Direct access to Anthropic's Startup and Research teams - Credits for all founders attending the event Connect with fellow founders and creators ready to dive into technical details about building with LLMs. Light bites and refreshments will be served throughout the event and networking reception. Please Note: This is a limited-availability event requiring approval to attend. This event is part of SF Tech Week—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.,,,https://partiful.com/e/hUd3ekBEfQG0ZIfWtqj4
Founders Shaping the Future: California M&A Policy Path Forward,Mon Oct 6,10:30 am,Chinatown,Founders Shaping the Future: California M&A Policy Path Forward #SFTechWeek,"innovation, and rooted in opportunity. We make AI legible and actionable for the country by creating shared resources, convening high-trust policy spaces, and scaling what works. SeedAI helps America explore, test, and grow with speed, clarity, and openness.",,https://aws.amazon.com/startups/events/founders-shaping-the-future-california-ma-policy-path-forward?trk=4ac5f417-2a94-4876-a3bf-6c50b8ac84f8&sc_channel=el
Celebrating the Cyber60: Where Cybersecurity Innovation Meets Investment,Tue Oct 7,4:00 pm,FiDi (SF),Join Lightspeed Venture Partners and AWS for an exclusive reveal of the Fortune Cyber60 Report Finalists - Lightspeed Venture Partners’ definitive ranking of the most promising venture-backed cybersecurity companies.,,$300,https://pages.awscloud.com/NAMER-field-T3-cyber60-showcase-lightspeed-2025-reg-event.html?trk=ffa2c4c9-8a4a-4a60-a258-b061e7c14cad&sc_channel=el
Designing the Next 3–6 Months of Your Legacy Life,Tue Oct 7,9:00 am,Virtual (SF),"This hybrid panel + experience is designed for senior leaders, creative founders, and former executives navigating a life or identity transition. The event kicks off with a high-impact panel titled ""Legacy Redefined: Reinvention at the Peak of Power"" featuring a curated lineup of luminary speakers — including ex-CEOs, former policymakers, creative founders, and senior educators — who’ve successfully pivoted into legacy-building roles. Following the panel, attendees will join guided breakout sprints (virtual and in-person pods) where they’ll design their next chapter using AI-assisted templates and a custom-designed legacy workbook. In the final hour, select participants can pitch or demo what they’re launching next — whether it’s a venture, book, initiative, or personal project — with feedback from impact investors, legacy builders, and transition coaches. What makes it special: It’s more than a conversation — it’s a transition container. Attendees leave with a personal roadmap for the next 3–6 months of their legacy, practical feedback from experts, and curated connections with fellow high-caliber leaders also in reinvention. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,,https://partiful.com/e/CdCh8JIqD9TxgYUtW2i7
Early-Stage B2B Tech Founders & Funders Breakfast,Tue Oct 7,8:30 am,Union Square (SF),"​In collaboration with Zendesk, we're bringing you the Early-Stage B2B Founders & Funders Breakfast as part of SF TechWeek. ​Who Should Attend? ​Pre-seed to Series A B2B SaaS founders, especially those who identify as BIPOC, Women+, disabled, and/or LGBTQIA. ​Investors & Venture Capitalists wanting access to diverse ideas and opportunities in the B2B SaaS space. ​Why Attend? ​Engage with a community of peers and industry leaders who recognize the importance of diversity in tech. ​Connect with a wide range of founders and funders (equal numbers of each will be accepted), offering a space to learn from and acknowledge one another. ​Identify areas of overlapping interest that pave the way for potential partnerships, investments, and collaborations. ​Gain insights & knowledge from other attendees that could shape the trajectory of your startup or investment journey. ​​​🔒 Venue: Revealed upon RSVP ​​APPROVED GUESTS​ ​Application DOES NOT guarantee attendance. ​​Spaces for this event are limited to maintain the quality of interactions and to ensure every participant receives optimum value. Register now - we hope to see you there. ​Admitted guests will be notified via event approval (with a calendar invite). ​​NOTE: Invites are non-transferable. NO +1s (space is very intimate, and capacity is strictly enforced). ​About Forum Ventures ​Forum Ventures is the leading early-stage fund, program and community for B2B SaaS startups based in New York, San Francisco, and Toronto. Founded in 2014, we’re on a mission to make the B2B SaaS journey easier, more accessible and successful for early-stage founders. From our Studio to Accelerator to Pre-Seed fund, we have the resources and network to help founders go from zero to one. ​Forum is investing in 85+ SaaS companies this year. Pitch Us here. ​About Zendesk Zendesk for Startups empowers startups with the best customer support platform that leverages AI capabilities to accelerate growth. Zendesk knows that startups move quickly, so we've designed an easy-to-use product that scales and provides you with critical metrics in the early days of your company's journey. Apply now to enjoy six free months of Zendesk and 30% off your first year after that. Learn about Zendesk: https://shorturl.at/UvVKR This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,Free,https://partiful.com/e/Lg4uc5gXer07ewJG3JOa
"Global Capital, Local Impact: LP–GP Roundtable (Amino Capital, Pillsbury)",Mon Oct 6,9:00 am,Embarcadero,"Global Capital, Local Impact: LP–GP Roundtable 📍 Pillsbury, Four Embarcadero Center, 22nd Floor | San Francisco 🗓️ Monday, October 6, 2025 | 9:00 AM – 11:00 AM In today’s venture landscape, capital is global, but impact is local. Family offices, institutional LPs, and global VCs are navigating unprecedented challenges: cross-border regulations, trust in emerging markets, and the rise of new tech paradigms such as AI, data-driven networks, and frontier innovation. This discussion goes beyond fundraising mechanics to tackle how global capital allocators and local innovators can align for long-term value creation. 1️⃣ Capital Flows and Cross-Border Venture 2️⃣ LP-GP Alignment in the Age of AI 3️⃣ Impact, Inclusion & Long-Term Partnerships (Please register with full name for building access. ID is required at check-in.) Speakers: Larry Li, Managing Partner, Amino Capital, — 2025 Forbes Midas List honoree, 2-time Forbes Midas Seed List recipient (2023–2024); early investor in Zoom (2011); Wells Fargo AAPI Alumni of the Year (2024). ​​​Huican Zhu, PhD, Managing Partner, Amino Capital; Joined Google in 2000, and creator of Google Image Search. Board member of UC Santa Barbara Board of Trustees; Board member of Harker School. Eunice Choi is the leader of Pillsbury’s Private Capital Sponsor practice and a partner in the firm’s Corporate practice. Eunice represents sponsors in the formation of a wide variety of private capital funds, ranging in size from multibillion-dollar partnerships to early-stage micro venture capital firms. ​​Sue Xu, PhD, Managing Partner, Amino Capital (2012-present)— angel investor in nearly 20 unicorns; postdoc and entrepreneurship mentor at Stanford University; founding CEO of Stanford spin-offs CandyHouse and CyteSi; UNGA 2024 speaker advocating AI for combating human trafficking and protecting women and children; recipient of the Outstanding Asian American Woman Who Dared award (2025); ​This time around, we have a restricted number of openings for the upcoming intimate event. Feel free to submit your application, and if additional space becomes accessible, we will certainly accommodate more attendees. ​We bring together an exceptional and carefully curated group of notable individuals from tech and venture. Each gathering features ample time to meet and get to know one another. Previous events were phenomenal success, often with 120 attendees chosen from 800 applicants. We’re excited to recreate that experience with you! The feedback was glowing, and participants didn’t want the night to end. https://www.linkedin.com/feed/update/urn:li:activity:7122787964404830208/ ​About Amino Capital (https://www.aminocapital.com/) ​AMINO Capital is a global venture capital firm based in Palo Alto, with investment theme of data moat and network effect. With over $1 billion in capital under management, Amino has funded hundreds of companies in seed-to-growth stages across Consumer, PLG SaaS, Frontier Tech, and Web3, including 35 successful exits, 17 unicorns and over 35 companies which are valued over $100M, such as Chime, Webflow, Rippling, Grail, Weee, Replit, Turing, Dfinity, OmiseGo, Oasis Labs, Instawork, Wetravel, AIFI.io, Wyze, Avail MedSystems and Beacons.ai. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,Free,https://partiful.com/e/AMWhV1oH2bKG2wA8o8K6
AI Worldwide: SF as a Global Bridge,Wed Oct 8,2:00 pm,SOMA,"​Join Inception Studio for an exclusive, invitation-only gathering of the most influential minds in AI from Silicon Valley and around the world. Taking place at the heart of SF Tech Week, this exclusive event in downtown SF brings together top AI founders, visionary investors, and technical experts for an afternoon of groundbreaking insights and unparalleled networking opportunities. 2:00pm - 2:30pm - Registration & Welcoming Remarks ​2:30pm - 4:00pm - Panel Discussions ​4:00pm - 5:00pm - Open Networking ​About Inception Studio Inception Studio is a non-profit accelerator that organizes intense weekend retreats for AI's most exceptional entrepreneurs and builders. Since launching in November 2022, we've had 17 cohorts that have yielded 40 companies that have raised over $152M from top investors. This event is a part of #SFTechWeek—a week of events hosted by VCs and startups to bring together the tech ecosystem. Learn more at www.tech-week.com.",,$152,https://partiful.com/e/sAIIEw9a1yEIfJAv3NJM
